"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"32",17,13,14,15,12,12,16,25,60,43,44,64,59,55,64,56,76,101,71,66,45,48,38,31
"33",37,27,20,24,12,22,29,39,64,63,62,59,75,73,53,70,101,88,77,63,60,40,40,40
"34",40,40,22,16,37,28,28,38,80,74,65,62,69,72,99,82,111,101,88,84,72,65,55,47
"40",40,35,21,21,20,25,49,54,121,109,96,89,91,103,99,97,136,138,106,88,71,54,56,38
"41",31,26,28,19,27,44,33,52,85,50,76,82,74,89,87,66,107,105,87,68,45,40,39,33
"42",29,19,21,7,15,8,18,46,71,61,51,61,50,62,64,56,79,94,71,53,36,29,29,29
"43",39,25,21,18,23,23,48,92,133,114,83,114,107,114,136,122,154,150,140,125,87,83,52,48
"44",34,27,25,23,20,15,25,62,93,87,89,82,83,97,107,115,123,116,115,108,90,80,68,57
"45",38,27,9,12,22,25,35,43,130,103,104,99,99,87,147,86,165,147,130,99,82,82,49,42
"46",42,23,15,15,28,26,20,34,78,78,72,65,108,87,108,96,142,93,104,86,62,59,48,31
"47",81,53,39,31,38,42,57,74,217,170,138,130,128,136,172,173,239,196,190,173,149,119,112,81
"48",34,24,11,12,22,10,27,33,104,104,88,92,72,98,122,77,109,122,112,73,62,51,31,44
"49",26,29,17,12,10,11,28,43,138,132,110,86,107,122,139,115,158,148,127,113,87,68,71,39
"50",16,17,14,11,10,8,36,41,94,59,53,68,84,92,98,58,107,89,93,60,50,42,36,31
"52",43,32,25,24,25,25,32,49,153,140,99,114,110,122,152,126,173,180,158,127,97,94,64,55
"60",19,18,7,7,8,14,18,34,83,86,56,91,84,111,113,134,142,109,98,82,56,41,45,38
"61",42,31,25,15,22,18,29,45,140,159,153,171,199,226,242,231,255,254,206,207,135,140,83,71
"62",42,33,22,21,24,28,30,42,132,136,128,150,146,172,183,170,202,184,166,131,116,92,70,67
"63",39,26,18,15,22,32,51,64,148,128,116,139,112,141,182,135,197,148,139,130,100,82,78,66
"66",43,29,21,20,17,16,29,53,118,168,177,159,178,207,201,169,213,193,150,150,116,94,91,69
"67",90,72,54,40,45,41,66,61,187,157,134,144,149,174,194,175,233,236,209,186,155,145,104,80
"68",39,24,16,19,23,22,25,47,131,136,138,122,128,151,152,126,183,145,130,134,112,67,69,49
"69",35,27,18,19,20,24,30,60,94,99,61,76,98,91,102,89,122,108,105,75,92,74,64,45
"70",50,34,23,19,20,17,40,52,142,194,172,168,147,176,188,165,210,203,173,141,131,102,92,75
"71",53,31,26,17,29,31,38,58,131,122,103,110,115,113,117,107,145,135,132,112,96,96,64,53
"72",40,31,28,22,31,37,69,85,158,186,159,161,171,176,192,147,211,192,142,126,101,65,57,64
"73",42,41,20,15,31,26,62,68,123,82,97,87,88,108,120,105,141,153,142,107,74,63,53,42
"75",75,72,66,38,54,69,96,137,234,217,197,162,224,246,262,264,327,330,284,216,191,150,143,113
"76",17,13,17,3,10,21,31,27,62,78,82,81,79,89,88,100,86,82,65,67,59,33,29,26
"77",39,35,23,13,22,32,34,56,117,98,82,107,90,99,108,88,125,111,127,92,91,74,71,53
"78",45,25,17,17,10,22,42,49,86,121,118,107,128,136,142,120,152,143,134,107,90,48,36,44
"79",41,41,26,16,27,23,31,58,82,99,102,114,102,88,152,126,157,147,140,75,73,66,59,42
"81",26,26,17,19,16,21,21,32,56,54,48,52,45,58,59,70,80,95,62,59,63,49,35,31
"83",32,27,22,27,26,35,40,56,103,97,93,86,95,93,147,109,133,149,115,87,88,70,64,44
"84",56,31,20,19,25,40,73,79,103,143,157,155,159,159,171,190,170,153,140,97,88,69,76,54
"88",34,21,21,11,12,16,20,31,55,75,86,63,81,84,80,77,96,97,86,46,40,40,38,29
"90",55,46,44,31,35,36,43,69,130,139,119,139,131,174,191,165,212,181,157,120,124,98,84,55
"94",43,27,27,20,19,17,37,64,97,98,99,121,115,113,115,112,122,150,111,88,59,60,43,49
"100",7,2,3,11,7,7,11,27,49,31,30,29,46,38,39,42,52,45,32,22,14,15,14,19
"101",7,5,6,3,2,4,10,21,53,33,38,50,42,50,78,58,49,59,46,30,26,20,18,20
"102",73,29,50,32,50,45,68,81,177,170,129,140,161,168,190,181,234,223,198,175,169,108,97,80
"103",45,33,33,14,19,23,42,63,177,130,119,117,133,146,178,140,197,192,167,142,102,82,65,52
"104",48,46,37,39,40,55,82,103,224,195,154,165,195,214,216,211,254,261,226,170,141,113,83,80
"105",93,69,55,55,50,75,119,138,345,285,232,247,241,236,348,301,395,392,391,302,236,184,182,140
"106",57,38,31,31,38,35,56,94,182,137,114,111,123,145,172,156,211,199,178,167,127,92,99,67
"107",46,32,27,23,29,24,73,108,199,239,161,153,135,144,218,171,279,261,209,181,146,107,78,69
"108",72,77,55,45,67,89,136,127,229,265,212,237,206,232,259,218,300,283,221,172,136,128,113,77
"109",88,42,33,24,52,53,74,166,346,292,245,247,264,309,289,275,387,339,322,252,211,175,158,118
"110",48,40,37,30,37,50,56,72,163,127,137,122,95,135,205,193,220,210,186,158,137,82,106,86
"111",43,33,27,22,16,23,61,77,211,231,173,189,221,200,226,188,246,225,245,156,145,86,70,70
"112",42,18,20,14,16,21,34,40,122,140,124,115,113,147,157,171,187,197,171,115,100,66,68,61
"113",65,39,31,36,40,42,69,87,203,159,119,112,122,97,149,142,189,176,167,148,132,123,97,77
"114",104,63,52,34,82,74,95,91,201,179,180,189,222,217,239,222,247,217,205,161,150,125,115,93
"115",79,50,40,44,71,55,64,72,161,131,141,173,138,161,193,193,239,211,220,161,136,105,100,87
"120",52,28,28,27,28,41,49,68,143,139,149,122,141,173,182,198,226,225,165,143,136,77,73,55
"121",29,19,18,23,21,16,45,60,107,95,89,102,108,116,151,136,159,153,151,114,91,67,50,42
"122",44,32,28,19,24,34,60,91,202,165,150,174,194,178,215,242,289,244,213,174,111,96,72,70
"123",26,28,19,21,14,15,25,50,105,75,89,88,111,97,114,97,158,114,91,77,53,49,52,35
