"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",46,39,35,26,30,27,47,50,135,151,176,169,175,179,205,173,201,213,206,138,137,88,76,63
"5",83,63,40,28,38,39,37,36,93,107,132,153,157,173,196,109,172,164,148,113,111,86,61,109
"6",52,65,43,41,37,31,16,29,45,71,71,78,82,82,116,78,93,77,84,70,65,56,72,61
"7",42,31,23,16,11,18,18,16,43,62,51,51,50,58,67,53,57,62,46,56,53,44,33,26
"9",61,40,52,35,42,31,22,18,59,68,76,77,100,82,86,70,104,108,69,79,87,69,54,70
"10",72,37,42,46,41,30,53,50,84,132,149,169,159,156,187,134,177,173,182,172,122,95,74,76
"13",103,83,42,40,53,44,47,31,116,173,156,179,163,190,198,201,195,182,184,128,134,130,119,112
"14",93,77,59,52,37,37,60,63,125,170,242,226,231,265,280,203,248,247,253,222,198,147,149,118
"17",99,84,58,48,49,43,61,65,149,211,192,158,158,186,220,173,235,215,223,179,146,127,90,78
"18",125,80,61,49,54,44,61,70,158,267,300,291,282,270,337,270,261,287,278,237,184,155,146,123
"19",93,64,53,43,35,49,107,140,273,286,284,309,328,327,366,365,324,300,246,255,185,165,119,117
"20",36,16,9,9,15,19,18,24,95,93,95,135,110,126,103,101,109,110,83,100,83,60,36,37
"22",6,1,4,3,3,2,12,17,24,31,40,38,36,33,30,29,36,23,41,32,17,17,22,10
"23",31,24,26,10,21,20,37,63,78,69,79,69,81,90,86,69,101,99,80,58,56,42,35,34
"24",18,15,10,10,10,7,12,25,63,95,71,75,88,75,70,64,86,71,77,61,42,38,28,24
"25",34,26,16,17,12,27,34,91,122,95,87,92,100,106,112,98,139,146,109,91,66,53,49,44
"26",21,11,12,10,6,8,8,25,55,53,53,68,57,47,54,53,71,55,48,38,47,28,24,31
"28",11,16,10,12,10,1,5,17,34,58,37,49,44,64,49,46,77,52,64,37,40,20,16,23
"30",22,14,9,11,19,7,12,26,39,42,42,46,45,51,48,44,67,54,55,52,42,39,26,20
