"","1","2","3","4","5","6","7"
"1",19,53,49,58,47,73,37
"5",33,31,46,29,36,58,47
"6",20,16,22,23,22,47,27
"7",23,13,17,14,17,21,18
"9",33,19,23,21,26,42,45
"10",34,42,55,50,54,71,50
"13",37,48,61,45,52,85,69
"14",51,73,68,65,67,108,67
"17",47,33,53,51,72,81,58
"18",55,52,55,68,73,113,82
"19",68,95,99,109,138,122,80
"20",26,38,38,29,31,42,42
"22",5,4,11,11,12,21,8
"23",32,21,37,27,45,39,29
"24",21,21,17,26,22,35,28
"25",24,21,33,34,48,51,27
"26",12,23,19,12,18,23,23
"28",12,10,12,13,18,18,29
"30",10,6,18,12,13,36,17
"32",14,28,20,13,23,40,24
"33",18,24,25,34,23,45,21
"34",34,22,28,27,33,39,35
"40",35,40,37,33,48,39,41
"41",31,29,34,30,23,34,32
"42",22,19,17,20,24,38,28
"43",40,33,44,39,51,58,45
"44",42,33,41,32,25,49,52
"45",64,35,36,38,49,53,45
"46",19,44,37,26,33,35,31
"47",70,81,70,73,70,96,77
"48",16,30,21,43,37,41,32
"49",47,45,38,26,42,55,37
"50",37,31,29,20,33,42,33
"52",36,49,51,41,44,58,49
"60",23,42,34,32,43,40,26
"61",46,68,69,64,59,62,47
"62",50,47,74,43,59,69,55
"63",38,51,52,41,51,59,48
"66",71,74,89,72,60,66,35
"67",72,79,67,45,46,81,81
"68",64,63,63,44,40,55,52
"69",35,34,31,27,24,39,30
"70",67,68,72,55,51,69,46
"71",52,34,53,36,49,54,40
"72",46,63,50,51,56,70,53
"73",35,46,43,26,38,49,50
"75",92,126,99,87,88,107,100
"76",21,31,31,25,25,32,34
"77",38,41,46,33,34,43,41
"78",24,42,40,35,46,43,46
"79",53,47,41,48,46,59,39
"81",22,26,21,28,25,30,30
"83",34,43,29,24,34,50,37
"84",38,49,59,52,53,76,50
"88",25,23,29,33,24,30,31
"90",57,48,62,57,67,68,56
"94",29,44,45,47,53,67,35
"100",10,10,19,14,16,12,8
"101",10,25,23,14,26,25,15
"102",62,67,69,71,55,73,74
"103",44,53,68,48,58,74,49
"104",75,79,67,72,67,93,74
"105",96,107,129,127,118,168,117
"106",55,66,80,49,54,78,85
"107",55,64,66,76,67,76,57
"108",69,92,82,97,95,92,93
"109",128,121,135,113,113,158,135
"110",50,50,53,54,55,80,74
"111",47,55,59,56,70,70,58
"112",44,57,41,41,50,61,55
"113",57,59,66,47,63,80,62
"114",57,98,75,73,88,83,76
"115",79,67,46,54,61,84,70
"120",56,43,60,54,55,60,40
"121",13,12,6,9,12,12,9
"122",36,67,57,45,56,95,55
"123",48,29,44,30,30,39,56
