"","1","2","3","4","5","6","7"
"1",165,187,206,193,213,241,181
"5",172,157,164,181,183,195,211
"6",90,96,91,94,108,131,117
"7",71,57,91,64,81,87,79
"9",127,100,119,110,115,151,151
"10",151,169,194,186,197,227,184
"13",179,177,205,195,197,247,219
"14",206,225,284,288,269,338,277
"17",186,208,247,251,259,261,195
"18",283,277,343,348,352,389,270
"19",220,328,386,337,373,375,275
"20",100,128,145,148,150,151,105
"22",36,35,42,51,47,36,22
"23",79,93,131,81,110,80,76
"24",60,77,83,84,85,91,76
"25",106,141,108,126,143,148,112
"26",44,59,61,67,53,67,54
"28",50,50,50,58,55,55,59
"30",51,47,46,62,59,76,58
"32",57,77,63,72,65,88,74
"33",83,88,92,94,90,110,85
"34",87,97,108,89,104,106,126
"40",97,103,119,123,143,142,101
"41",65,96,95,90,114,126,68
"42",68,76,81,74,67,78,56
"43",109,138,119,116,136,152,147
"44",112,146,136,123,118,145,116
"45",114,126,141,125,129,166,139
"46",75,98,92,103,88,113,93
"47",215,209,178,210,201,248,240
"48",81,95,111,121,100,145,99
"49",120,127,123,164,125,171,119
"50",98,95,85,110,80,84,75
"52",128,161,148,147,121,167,151
"60",109,123,126,101,102,105,94
"61",197,266,251,247,218,239,180
"62",168,200,192,176,165,204,177
"63",147,187,179,167,193,194,161
"66",141,227,218,200,225,185,72
"67",196,233,196,218,212,236,231
"68",141,180,170,166,131,188,141
"69",101,114,113,113,93,128,124
"70",166,201,215,205,209,208,150
"71",132,173,144,142,138,146,137
"72",154,232,229,206,173,233,160
"73",131,153,133,129,126,154,126
"75",290,318,295,294,269,316,250
"76",80,88,87,100,101,85,59
"77",131,106,108,119,100,130,112
"78",103,125,143,151,158,145,162
"79",122,132,140,117,143,118,107
"81",93,75,79,70,76,64,81
"83",106,124,116,109,114,124,123
"84",116,171,200,175,190,210,143
"88",79,82,97,101,90,124,80
"90",115,184,198,186,223,186,135
"94",81,135,127,142,126,147,123
"100",34,44,36,38,38,50,50
"101",42,47,53,48,44,59,40
"102",207,214,193,175,223,210,168
"103",139,156,154,166,167,170,145
"104",207,257,219,264,234,257,217
"105",329,346,338,411,395,401,361
"106",182,161,181,184,205,210,208
"107",141,223,217,209,226,248,166
"108",197,267,283,277,286,296,194
"109",319,331,355,363,320,355,323
"110",190,218,199,194,196,244,225
"111",179,195,260,241,236,175,269
"112",142,168,148,152,151,188,154
"113",168,175,160,188,171,205,192
"114",235,270,260,269,234,296,243
"115",224,219,179,203,187,244,205
"120",127,184,202,179,205,253,157
"121",202,218,248,235,298,297,208
"122",176,236,267,258,283,264,185
"123",107,90,96,121,132,145,122
