"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"104",55,43,36,33,49,50,79,87,197,171,157,183,192,212,213,198,278,251,227,194,140,115,92,67
"105",93,72,47,43,57,63,110,135,409,327,258,242,280,308,380,317,440,410,388,312,244,193,188,141
"106",60,49,39,37,35,47,62,92,194,132,129,134,156,170,185,169,182,209,174,165,152,101,101,87
"107",56,47,28,28,31,42,46,76,238,264,153,141,125,178,179,161,268,251,210,177,137,103,100,74
"108",85,80,48,41,66,93,117,129,266,270,229,271,270,233,279,261,321,271,221,205,159,130,121,94
"109",90,64,27,28,30,47,98,138,341,325,309,302,302,304,347,347,352,385,312,279,227,199,168,135
"110",59,46,28,26,38,37,70,73,150,151,126,113,135,141,172,165,213,247,199,172,160,96,106,79
"111",20,32,21,14,18,30,68,79,235,254,180,185,208,170,255,234,238,255,213,155,128,96,74,48
"112",31,21,21,22,18,26,35,59,130,129,123,142,162,145,163,154,191,193,170,133,96,95,65,58
"113",78,52,31,37,51,47,74,99,225,170,121,114,118,145,153,133,175,193,184,159,141,103,127,80
"114",99,57,53,58,56,70,90,86,190,179,204,182,232,242,271,224,242,224,192,170,169,136,130,90
"115",67,43,47,42,76,56,58,42,159,161,142,150,145,162,193,197,252,213,211,182,146,112,90,95
"120",31,37,19,22,16,32,37,79,151,150,131,133,157,177,209,176,226,197,170,126,104,80,55,66
"121",9,13,8,6,4,10,18,19,37,32,34,37,32,34,35,50,48,57,44,38,31,13,11,15
"122",39,36,27,26,13,36,70,85,229,156,143,154,174,176,205,234,232,218,210,167,135,82,80,49
"123",30,25,17,21,14,15,21,37,108,62,78,79,97,98,119,95,114,126,103,97,53,55,42,41
