"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",51,37,23,24,23,23,37,50,133,180,166,172,188,208,180,154,205,211,161,147,125,98,86,62
"5",89,62,44,37,28,33,32,47,69,98,134,131,158,152,152,127,168,150,144,101,87,80,73,78
"6",72,49,46,28,36,19,22,27,43,69,58,70,81,99,98,63,90,73,71,69,79,69,68,46
"7",35,30,19,18,9,11,26,23,49,46,50,62,42,64,48,60,75,72,67,63,44,41,47,32
"9",51,40,40,31,34,18,22,27,55,66,67,87,81,91,107,64,98,77,70,75,86,72,56,65
"10",82,44,40,37,28,25,50,44,99,153,169,147,148,149,179,130,203,180,193,175,130,98,101,76
"13",89,69,53,39,28,42,36,58,95,164,149,174,200,196,219,183,231,191,158,156,139,117,123,113
"14",111,66,46,33,36,49,37,65,139,213,208,186,223,271,306,212,283,246,287,213,194,158,162,115
"17",107,68,41,37,47,38,59,56,152,208,193,155,169,182,232,145,244,206,174,162,143,128,119,104
"18",101,81,69,56,44,51,64,74,183,264,274,248,282,257,329,239,291,291,284,216,200,166,158,151
"19",121,70,43,37,39,64,125,117,251,296,288,327,355,321,348,338,332,306,262,234,193,166,135,120
"20",23,21,8,6,14,19,22,27,82,94,112,115,118,120,133,115,145,89,110,77,77,65,43,34
"22",5,6,1,5,1,3,7,6,37,34,31,24,35,34,28,38,46,32,35,26,16,11,9,8
"23",20,16,11,9,15,18,32,48,78,78,73,79,95,81,90,97,107,114,92,50,58,33,48,28
"24",12,10,11,9,7,8,9,30,55,76,75,77,61,58,73,62,90,70,62,51,44,29,38,22
"25",49,20,21,21,21,20,40,57,121,97,95,83,85,108,118,114,129,117,89,93,58,66,46,31
"26",17,12,10,11,15,11,14,27,45,60,55,54,53,42,52,42,62,59,51,49,38,27,24,17
"28",18,15,6,6,5,5,17,14,47,53,38,53,39,56,59,56,76,63,53,55,34,35,21,18
"30",14,10,9,8,13,7,9,19,41,42,51,48,52,32,42,45,74,52,56,39,34,26,23,26
"32",15,23,12,10,13,10,14,25,70,54,56,52,65,57,61,64,98,78,60,72,54,43,36,28
"33",25,12,17,15,24,15,27,36,73,83,70,65,70,91,76,59,80,90,65,79,56,43,53,25
"34",38,36,33,24,44,30,34,33,69,58,65,67,70,77,94,94,116,108,88,76,54,63,63,62
"40",35,23,14,14,27,28,36,52,122,119,96,83,103,105,100,88,143,143,99,75,69,61,47,36
"41",23,26,16,16,20,35,46,48,105,81,78,66,73,90,93,81,128,113,52,54,47,46,53,31
"42",24,18,13,10,16,10,18,39,80,47,56,66,60,53,79,72,110,83,72,72,52,46,32,19
"43",29,32,29,18,30,31,64,76,145,120,108,98,98,112,121,87,122,134,103,89,87,77,63,53
"44",30,28,24,14,19,18,31,29,90,92,80,89,71,89,107,87,131,122,113,102,75,59,58,45
"45",37,22,20,16,12,15,37,57,145,105,110,93,106,101,127,101,135,149,114,102,91,65,69,36
"46",22,19,24,19,15,18,22,29,92,90,79,77,81,80,107,106,128,113,91,93,76,50,44,40
"47",71,52,35,30,48,41,56,94,206,169,135,145,150,139,195,145,208,229,202,181,172,117,105,89
"48",20,32,15,6,24,14,29,20,107,113,62,84,92,104,99,102,125,139,106,77,69,58,44,30
"49",36,28,22,11,23,26,30,43,137,107,85,88,103,99,129,72,135,147,138,93,86,66,56,55
"50",22,13,13,7,9,11,22,45,92,84,80,51,86,75,94,95,96,96,67,65,57,46,33,24
"52",58,35,18,17,27,29,30,54,144,144,114,133,101,120,125,133,150,153,146,158,114,88,76,53
"60",27,16,17,10,7,12,19,39,96,96,74,102,113,117,121,114,148,115,103,83,62,49,40,28
"61",43,25,31,18,16,11,46,45,162,180,157,158,183,226,243,259,237,249,179,177,147,106,100,68
"62",47,24,16,20,22,17,38,42,145,135,122,150,162,183,171,180,190,183,149,130,133,105,79,54
"63",34,31,24,22,23,21,44,59,117,149,88,115,131,136,179,138,206,170,153,131,107,94,69,57
"66",58,29,16,20,10,15,32,52,152,158,164,174,174,223,205,180,232,195,192,152,121,117,86,79
"67",73,43,50,23,43,66,61,62,196,187,127,135,135,160,176,127,216,234,224,138,149,142,137,110
"68",46,31,35,19,13,23,46,57,144,148,152,134,140,137,166,150,193,183,127,110,107,81,64,60
"69",28,24,15,12,13,24,38,37,105,99,88,73,83,83,105,106,108,86,96,100,78,68,46,48
"70",56,46,27,23,24,30,43,56,148,156,146,145,147,167,212,197,186,209,173,159,121,98,100,72
"71",50,34,27,19,25,25,30,53,152,137,130,106,115,110,125,103,180,175,142,117,100,87,61,69
"72",45,29,24,20,36,26,77,81,182,197,167,164,188,171,165,155,199,167,135,103,100,86,52,52
"73",38,41,27,24,21,25,25,66,136,94,83,83,96,117,110,117,146,164,122,97,76,73,56,50
"75",94,60,67,49,66,67,117,162,251,244,214,195,211,239,292,308,313,313,272,212,198,171,154,110
"76",36,17,9,13,15,13,29,33,68,69,71,88,85,93,88,100,85,86,60,47,53,31,20,26
"77",39,30,23,24,20,31,30,46,104,99,80,94,74,99,100,99,123,130,107,111,90,84,51,54
"78",21,14,10,14,14,19,37,36,86,127,123,135,138,136,134,122,143,130,114,110,67,71,53,50
"79",36,42,24,19,17,18,26,59,101,98,103,89,124,135,158,110,124,128,132,100,71,67,70,59
"81",9,12,13,17,19,9,20,34,66,53,60,54,58,51,74,82,92,82,83,45,68,46,37,25
"83",33,31,28,22,20,17,30,54,109,104,84,77,96,113,119,116,134,112,127,84,89,63,56,47
"84",64,43,25,26,23,37,62,72,114,151,156,134,180,149,179,169,166,191,131,124,92,58,78,68
"88",29,15,13,8,13,14,20,27,60,73,80,71,76,71,72,74,85,92,89,44,35,56,41,22
"90",84,45,42,44,35,38,50,61,175,147,139,136,162,165,165,188,238,196,205,136,110,102,79,70
"94",48,37,41,24,31,30,40,56,101,87,101,114,124,151,134,112,149,143,105,108,71,67,56,53
"100",4,8,3,5,2,11,9,17,35,24,22,28,32,39,38,35,41,36,24,25,17,15,10,19
"101",11,7,7,5,9,7,15,25,64,32,32,46,44,44,55,53,42,48,43,36,30,15,22,18
"102",76,37,30,37,46,48,68,92,216,183,142,161,159,162,202,177,215,245,223,164,138,114,112,75
"103",36,28,22,25,23,31,64,83,214,160,142,144,154,174,188,165,212,211,191,131,101,73,81,47
