Hour,Freq,Avg
0,3619,9.915068493
1,2641,7.235616438
2,2009,5.504109589
3,1725,4.726027397
4,1972,5.402739726
5,2181,5.975342466
6,3325,9.109589041
7,4317,11.82739726
8,10209,27.96986301
9,10077,27.60821918
10,9124,24.99726027
11,9216,25.24931507
12,9963,27.29589041
13,10459,28.65479452
14,11734,32.14794521
15,10521,28.82465753
16,13029,35.69589041
17,12469,34.16164384
18,10864,29.76438356
19,9144,25.05205479
20,7691,21.07123288
21,6261,17.15342466
22,5572,15.26575342
23,4481,12.27671233
