"","0","1"
"1",280,56
"5",200,80
"6",130,47
"7",82,41
"9",131,78
"10",272,84
"13",291,106
"14",381,118
"17",290,105
"18",361,137
"19",563,148
"20",178,68
"22",59,13
"23",169,61
"24",121,49
"25",187,51
"26",95,35
"28",71,41
"30",85,27
"32",124,38
"33",151,39
"34",149,69
"40",197,76
"41",150,63
"42",118,50
"43",225,85
"44",180,94
"45",211,109
"46",175,50
"47",390,147
"48",172,48
"49",206,84
"50",155,70
"52",243,85
"60",191,49
"61",322,93
"62",292,105
"63",254,86
"66",361,106
"67",318,153
"68",265,116
"69",155,65
"70",315,113
"71",226,92
"72",290,99
"73",202,85
"75",507,192
"76",144,55
"77",197,79
"78",206,70
"79",241,92
"81",130,52
"83",180,71
"84",289,88
"88",139,56
"90",302,113
"94",256,64
"100",71,18
"101",113,25
"102",335,136
"103",301,93
"104",378,149
"105",649,213
"106",327,140
"107",349,112
"108",458,162
"109",640,263
"110",292,124
"111",310,105
"112",250,99
"113",315,119
"114",417,133
"115",312,149
"120",272,96
"121",51,22
"122",320,91
"123",172,104
