"","1","2","3","4","5","6","7"
"1",273,385,423,450,424,508,281
"5",312,277,324,314,326,354,367
"6",176,183,192,203,194,234,263
"7",133,121,172,122,151,172,162
"9",181,185,187,181,208,246,292
"10",324,355,361,403,455,443,339
"13",336,337,484,447,483,497,438
"14",432,507,574,624,609,623,490
"17",306,423,494,472,562,553,359
"18",505,560,636,784,722,626,540
"19",479,698,794,809,779,770,559
"20",196,231,251,254,260,273,204
"22",51,68,71,92,69,72,55
"23",139,215,209,192,241,206,168
"24",107,156,147,156,163,186,124
"25",191,249,212,235,293,303,216
"26",76,123,134,128,131,142,113
"28",88,119,139,121,132,130,113
"30",101,105,125,87,104,134,116
"32",127,146,154,150,168,170,155
"33",117,191,194,170,212,201,164
"34",207,214,226,203,191,198,257
"40",159,239,257,265,263,294,241
"41",114,232,257,226,186,228,178
"42",135,161,175,190,169,181,136
"43",237,242,286,274,269,319,299
"44",191,233,242,228,230,256,223
"45",225,285,237,275,265,297,281
"46",179,219,201,238,182,266,230
"47",396,407,416,430,435,473,457
"48",178,229,219,236,223,267,219
"49",197,262,275,262,246,304,269
"50",147,177,199,194,187,196,183
"52",273,324,347,347,309,322,298
"60",185,272,225,235,241,248,202
"61",374,458,497,502,436,472,327
"62",316,349,360,380,364,385,343
"63",313,347,313,302,343,348,332
"66",332,509,470,500,449,361,215
"67",420,414,390,422,432,459,477
"68",261,356,360,362,350,346,331
"69",217,235,214,190,217,239,251
"70",293,465,442,459,405,365,312
"71",297,341,318,308,315,339,254
"72",263,445,448,376,397,411,281
"73",229,285,275,255,258,289,296
"75",603,629,610,627,604,640,666
"76",121,197,183,185,195,186,168
"77",199,263,242,255,271,248,264
"78",211,281,296,302,292,274,248
"79",206,270,283,269,301,347,234
"81",149,149,164,154,163,154,176
"83",202,232,262,237,298,276,258
"84",229,385,387,372,380,437,302
"88",112,166,189,175,174,219,145
"90",256,411,456,471,468,461,289
"94",209,283,315,287,282,339,268
"100",67,88,76,53,73,87,55
"101",82,118,113,99,102,116,80
"102",398,471,446,446,456,453,452
"103",269,451,402,394,410,444,330
"104",375,500,483,462,474,541,484
"105",619,763,837,813,808,838,779
"106",417,390,408,428,369,440,409
"107",334,512,489,477,474,520,307
"108",407,692,716,664,587,683,511
"109",580,756,847,711,771,800,691
"110",388,400,398,379,392,437,408
"111",373,499,495,462,463,497,421
"112",265,366,359,366,366,372,288
"113",381,419,413,387,376,428,406
"114",465,498,537,547,509,543,547
"115",423,448,394,412,381,476,507
"120",251,366,399,411,449,385,320
"121",80,102,112,80,84,99,78
"122",290,447,446,463,454,517,359
"123",183,203,221,233,249,224,234
