"","1","2","3","4","5","6","7","8","9","10","11","12"
"1",189,196,237,221,271,234,281,258,233,234,230,201
"5",190,157,171,198,213,229,224,239,252,214,217,144
"6",129,132,96,131,126,142,122,114,136,142,125,120
"7",62,70,77,74,91,90,95,78,82,87,102,79
"9",114,105,146,141,168,127,140,130,142,142,106,98
"10",175,183,202,242,232,241,223,233,223,234,196,228
"13",232,202,258,254,271,278,233,268,238,271,255,243
"14",240,243,306,327,348,351,342,334,311,328,333,339
"17",265,222,246,248,295,262,273,326,278,307,267,258
"18",307,278,340,338,398,383,372,335,380,415,406,438
"19",399,305,377,415,447,397,382,360,435,437,471,408
"20",122,108,126,110,160,126,154,133,140,148,172,123
"22",43,35,39,32,36,50,46,34,56,48,40,48
"23",100,91,100,100,135,136,103,119,107,123,125,119
"24",82,104,86,71,100,103,99,95,87,112,105,91
"25",129,140,151,127,182,157,161,124,137,158,160,140
"26",56,70,75,65,106,86,78,65,72,81,60,69
"28",56,51,72,60,82,63,56,77,71,71,59,74
"30",54,59,69,66,73,86,63,84,70,65,80,63
"32",69,75,75,84,83,109,88,112,78,84,88,100
"33",108,80,96,105,114,128,124,90,97,90,102,104
"34",87,105,124,131,135,151,123,111,129,121,138,120
"40",122,139,163,140,166,157,152,154,145,138,147,134
"41",98,94,103,117,116,133,146,106,117,116,121,126
"42",77,59,94,83,108,83,96,84,90,89,97,99
"43",138,154,153,176,179,214,167,166,193,150,181,180
"44",112,136,174,153,145,157,164,151,135,144,138,132
"45",151,148,180,157,180,159,171,144,155,130,140,147
"46",112,114,138,107,154,139,145,115,125,125,118,128
"47",243,252,261,225,266,239,263,239,250,223,240,237
"48",107,117,107,134,147,154,120,128,153,143,121,103
"49",174,148,181,158,173,160,168,149,158,138,152,177
"50",89,122,110,101,122,85,116,98,123,102,101,98
"52",182,169,206,161,215,200,180,184,157,195,182,188
"60",104,111,108,132,139,140,149,129,118,119,122,123
"61",284,241,270,231,258,264,253,231,236,252,278,301
"62",199,210,183,196,250,223,233,201,173,186,215,218
"63",213,175,171,182,228,204,194,187,159,192,182,221
"66",243,201,195,210,235,220,191,214,217,233,263,259
"67",227,195,255,250,266,292,299,282,289,273,264,239
"68",204,153,165,173,195,207,177,167,170,180,182,215
"69",134,114,126,129,149,161,145,127,130,161,119,133
"70",218,194,206,242,257,233,190,229,219,257,251,238
"71",151,138,153,174,175,184,158,188,163,163,201,186
"72",211,222,203,217,230,246,233,227,200,218,222,222
"73",156,134,156,150,161,190,173,137,138,157,179,159
"75",324,295,335,361,400,380,354,367,334,329,332,356
"76",97,73,105,120,117,119,99,92,96,128,108,91
"77",128,116,142,147,142,161,152,169,162,160,150,158
"78",147,134,168,162,189,190,186,150,154,177,148,134
"79",134,132,182,176,150,194,166,160,152,150,152,139
"81",72,68,94,96,91,99,100,85,87,107,97,98
"83",126,126,153,158,188,172,140,163,148,157,150,157
"84",139,161,181,194,208,234,217,226,252,206,225,184
"88",87,77,83,98,123,109,126,102,121,103,102,108
"90",189,219,200,208,250,230,221,208,204,214,250,185
"94",146,122,119,152,180,152,144,167,154,183,135,152
"100",60,44,34,58,48,58,66,64,41,36,36,47
"101",55,60,64,47,64,76,65,61,53,60,68,55
"102",246,215,240,239,262,271,255,225,275,279,270,251
"103",170,180,171,164,209,209,200,182,211,221,258,236
"104",253,221,302,296,314,277,292,276,270,280,269,302
"105",391,327,413,434,473,402,428,403,424,485,468,463
"106",219,165,223,214,221,218,245,223,224,250,244,214
"107",242,203,240,259,252,257,240,232,284,319,313,271
"108",328,274,347,315,366,328,333,310,330,347,343,335
"109",397,309,402,383,402,423,418,354,394,420,433,426
"110",217,185,225,191,250,224,251,233,217,229,274,236
"111",257,203,259,269,312,289,290,227,260,291,271,256
"112",162,158,174,159,190,214,189,167,196,220,207,223
"113",167,164,234,220,222,229,234,200,235,237,248,231
"114",284,263,333,250,325,287,331,297,282,300,293,312
"115",219,229,255,240,277,282,264,252,260,260,236,251
"120",218,198,231,213,228,233,200,229,213,233,232,240
"121",233,249,250,255,356,317,48,52,48,51,62,41
"122",282,239,258,261,279,269,237,221,245,279,277,274
"123",130,111,127,130,143,151,115,119,128,144,147,158
