"","0","1"
"1",2181,604
"5",1692,756
"6",1071,444
"7",678,309
"9",1045,514
"10",1973,639
"13",2222,781
"14",2801,1001
"17",2512,735
"18",3344,1046
"19",3753,1080
"20",1223,399
"22",388,119
"23",1042,316
"24",873,262
"25",1374,392
"26",653,230
"28",568,224
"30",598,234
"32",749,296
"33",925,313
"34",1055,420
"40",1402,355
"41",1089,304
"42",800,259
"43",1508,543
"44",1291,450
"45",1338,524
"46",1110,410
"47",2093,845
"48",1138,396
"49",1451,485
"50",946,321
"52",1623,596
"60",1116,378
"61",2368,731
"62",1822,665
"63",1693,615
"66",2168,513
"67",2186,945
"68",1677,511
"69",1195,433
"70",2083,651
"71",1524,510
"72",2065,586
"73",1387,503
"75",3014,1153
"76",945,300
"77",1265,522
"78",1459,480
"79",1445,442
"81",802,292
"83",1286,552
"84",1888,539
"88",941,298
"90",2009,569
"94",1405,401
"100",443,149
"101",566,162
"102",2222,806
"103",1864,547
"104",2485,867
"105",3800,1311
"106",1874,786
"107",2472,640
"108",3028,928
"109",3491,1270
"110",1934,798
"111",2387,797
"112",1687,572
"113",1883,738
"114",2662,895
"115",2070,955
"120",2000,668
"121",1475,487
"122",2454,667
"123",1175,428
