"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"104",20,23,20,22,20,31,38,48,100,107,69,89,86,115,93,95,126,132,119,86,83,47,41,45
"105",50,33,23,30,23,36,35,58,153,174,144,122,112,131,198,157,207,194,162,152,139,99,100,49
"106",40,26,17,20,13,22,33,41,76,63,43,75,61,73,92,83,90,85,85,78,76,55,49,35
"107",17,16,17,13,13,16,32,38,88,96,78,69,73,83,99,80,117,123,93,64,68,43,52,42
"108",44,29,24,27,35,34,55,62,113,125,93,95,105,91,106,128,109,117,106,78,70,61,51,42
"109",47,30,14,17,32,28,43,68,132,140,129,138,129,161,165,168,177,163,140,119,111,90,66,59
"110",38,23,16,18,33,14,37,30,54,83,67,74,88,78,103,89,110,128,83,87,71,53,53,36
"111",20,16,18,16,7,9,29,53,102,106,87,78,94,91,104,96,135,128,103,95,59,43,39,27
"112",20,12,10,7,12,9,19,18,63,58,64,69,67,66,76,75,81,81,78,76,41,48,27,26
"113",35,26,17,14,17,23,34,31,71,69,63,50,62,60,67,56,98,81,101,63,58,58,58,47
"114",50,41,27,31,45,37,68,50,88,105,91,83,108,109,114,128,106,110,87,90,74,57,56,52
"115",38,30,23,10,27,31,32,42,70,65,71,84,76,84,85,84,87,99,101,90,74,54,67,37
"120",21,15,24,13,10,11,40,38,60,79,58,76,81,74,106,85,109,97,98,69,34,31,44,34
"121",32,22,18,24,7,22,31,32,88,81,74,85,113,101,142,114,153,159,118,91,75,51,41,32
"122",25,17,15,15,12,16,39,42,74,95,88,74,92,109,128,131,125,130,108,96,75,66,47,50
"123",19,9,17,11,7,15,19,17,43,40,40,50,50,56,75,45,50,50,41,54,38,27,18,22
