"","1","2","3","4","5","6","7"
"2012",10531,12191,12491,12494,12536,13823,11370
"2013",20316,24831,25429,24840,25135,27989,23346
"2014",19932,25089,25904,25674,25723,27187,23094
"2015",3210,3572,3705,3341,3649,4639,3689
