Hour,Freq,Avg
0,1974,10.72826087
1,1411,7.668478261
2,1126,6.119565217
3,963,5.233695652
4,1134,6.163043478
5,1141,6.201086957
6,1694,9.206521739
7,2171,11.79891304
8,4401,23.91847826
9,4758,25.85869565
10,4435,24.10326087
11,4539,24.66847826
12,4898,26.61956522
13,5181,28.1576087
14,5776,31.39130435
15,5312,28.86956522
16,6083,33.05978261
17,6109,33.20108696
18,5451,29.625
19,4552,24.73913043
20,3927,21.3423913
21,3139,17.05978261
22,2851,15.49456522
23,2410,13.09782609
