Hour,Freq,Avg
0,530,8.983050847
1,417,7.06779661
2,335,5.677966102
3,257,4.355932203
4,317,5.372881356
5,331,5.610169492
6,524,8.881355932
7,848,14.37288136
8,1754,29.72881356
9,1647,27.91525424
10,1418,24.03389831
11,1500,25.42372881
12,1475,25
13,1572,26.6440678
14,1766,29.93220339
15,1640,27.79661017
16,1834,31.08474576
17,1642,27.83050847
18,1515,25.6779661
19,1259,21.33898305
20,1042,17.66101695
21,840,14.23728814
22,761,12.89830508
23,581,9.847457627
